domain,task,encoder,num_samples,train_size,val_size,test_size,num_classes,min_class_frac,task_type,source,knn_accuracy,linear_accuracy,mlp_accuracy,tabicl_zeroshot_accuracy,xgboost_accuracy,knn_auroc,linear_auroc,mlp_auroc,tabicl_zeroshot_auroc,xgboost_auroc
graphs,graph_enzymes,pyg_gcn,600,360,120,120,6,0.1667,multiclass,PyG TUDataset (ENZYMES),0.375,0.225,0.21666666666666667,0.15,0.4083333333333333,0.684875,0.6046666666666667,0.5595833333333333,0.50925,0.7070833333333333
graphs,graph_enzymes,pyg_gin,600,360,120,120,6,0.1667,multiclass,PyG TUDataset (ENZYMES),0.36666666666666664,0.2916666666666667,0.26666666666666666,0.25,0.2916666666666667,0.6853333333333333,0.6360833333333334,0.6244166666666666,0.5918333333333333,0.7054999999999999
graphs,graph_enzymes,pyg_sage,600,360,120,120,6,0.1667,multiclass,PyG TUDataset (ENZYMES),0.35,0.23333333333333334,0.21666666666666667,0.15833333333333333,0.3333333333333333,0.6581666666666667,0.548,0.5875,0.50725,0.67325
graphs,graph_mutag,pyg_gat,188,134,27,27,2,0.3351,,TUDataset (MUTAG),0.6666666666666666,0.5925925925925926,0.6296296296296297,0.7407407407407407,0.7037037037037037,0.5925925925925926,0.7777777777777777,0.654320987654321,0.6697530864197531,0.6296296296296297
graphs,graph_mutag,pyg_gcn,188,134,27,27,2,0.3351,,TUDataset (MUTAG),0.7037037037037037,0.7407407407407407,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.7530864197530864,0.7592592592592592,0.7407407407407407,0.5740740740740741,0.7469135802469136
graphs,graph_mutag,pyg_gin,188,134,27,27,2,0.3351,,TUDataset (MUTAG),0.8148148148148148,0.8518518518518519,0.8518518518518519,0.4074074074074074,0.8148148148148148,0.9290123456790125,0.9197530864197532,0.8888888888888888,0.882716049382716,0.8580246913580247
graphs,graph_mutag,pyg_sage,188,134,27,27,2,0.3351,,TUDataset (MUTAG),0.5925925925925926,0.7407407407407407,0.6666666666666666,0.37037037037037035,0.7037037037037037,0.654320987654321,0.7592592592592593,0.6666666666666666,0.5185185185185185,0.7469135802469136
graphs,graph_nci1,pyg_gat,4110,2466,822,822,2,0.4995,binary,PyG TUDataset (NCI1),0.6180048661800487,0.6557177615571776,0.6459854014598541,0.6849148418491484,0.6338199513381995,0.6556792820312456,0.6936556141628335,0.6828931867559391,0.7376613920116504,0.6855009146287319
graphs,graph_nci1,pyg_gcn,4110,2466,822,822,2,0.4995,binary,PyG TUDataset (NCI1),0.6970802919708029,0.7104622871046229,0.7092457420924574,0.5559610705596107,0.7335766423357665,0.7495752452329787,0.7567975562541069,0.7375222737255877,0.5755945086756531,0.8011437299092475
graphs,graph_nci1,pyg_gin,4110,2466,822,822,2,0.4995,binary,PyG TUDataset (NCI1),0.745742092457421,0.7445255474452555,0.7396593673965937,0.44282238442822386,0.7530413625304136,0.8090290727618236,0.7940575772106488,0.8077326087342604,0.44041889403922546,0.8272150887101071
